Stadtteil;Latitude;Longitude
;;
Altstadt;50,11;8,68
Innenstadt;50,12;8,68
Bahnhofsviertel;3708,00;1406,00
Westend-Süd;18485,00;9452,00
Westend-Nord;10073,00;5248,00
Nordend-West;30374,00;15624,00
Nordend-Ost;22890,00;11843,00
Ostend;28761,00;14816,00
Bornheim;30394,00;16010,00
Gutleutviertel;6896,00;3010,00
Gallus;39130,00;18336,00
Bockenheim;39991,00;20018,00
Sachsenhausen-Nord;32188,00;16407,00
Sachsenhausen-Süd;28097,00;14536,00
Flughafen;Daten in Sachsenhausen-Süd enthalten;
Oberrad;13290,00;6647,00
Niederrad;24317,00;12222,00
Schwanheim;21332,00;10885,00
Griesheim;23785,00;10969,00
Rödelheim;18721,00;9411,00
Hausen;7546,00;3896,00
Praunheim;16512,00;8450,00
Heddernheim;17155,00;9026,00
Niederursel;16064,00;8278,00
Ginnheim;16542,00;8672,00
Dornbusch;18517,00;9841,00
Eschersheim;15219,00;7866,00
Eckenheim;14427,00;7445,00
Preungesheim;15741,00;7951,00
Bonames;6377,00;3267,00
Berkersheim;3832,00;1951,00
Riederwald;4849,00;2501,00
Seckbach;10808,00;5367,00
Fechenheim;17523,00;8328,00
Höchst;15685,00;7509,00
Nied;19788,00;9738,00
Sindlingen;9039,00;4411,00
Zeilsheim;12474,00;6208,00
Unterliederbach;16677,00;8350,00
Sossenheim;16206,00;8203,00
Nieder-Erlenbach;4691,00;2373,00
Kalbach-Riedberg;19888,00;10073,00
Harheim;4782,00;2445,00
Nieder-Eschbach;11472,00;5924,00
Bergen-Enkheim;18080,00;9288,00
Frankfurter Berg;8232,00;4157,00
